[2023-02-20 13:47:10.112][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 율현중학교 발견 
[2023-02-20 13:47:10.112][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 진선여자중학교 발견 
[2023-02-20 13:47:10.112][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 경기국제통상고등학교 발견 
[2023-02-20 13:47:10.113][WARN ] --- [main] org.example.SchoolFinder[findValidSchool:73] - (WARNING)알수없는 라인

"원주시삼육중우리급식에고기가나온적이없어요맨날두부에콩에김치에진짜짜장면좀주세여불쌍하자나요ㅠㅠㅠㅠㅠ"

 
[2023-02-20 13:47:10.113][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은행중학교 발견 
[2023-02-20 13:47:10.113][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은행중학교 발견 
[2023-02-20 13:47:10.114][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은행중학교 발견 
[2023-02-20 13:47:10.114][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 홍익대학교사범대학부속여자중학교 발견 
[2023-02-20 13:47:10.114][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 목포하당중학교 발견 
[2023-02-20 13:47:10.114][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 충렬여자중학교 발견 
[2023-02-20 13:47:10.114][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 영운중학교 발견 
[2023-02-20 13:47:10.115][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은성중학교 발견 
[2023-02-20 13:47:10.116][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 난우중학교 발견 
[2023-02-20 13:47:10.116][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 이충고등학교 발견 
[2023-02-20 13:47:10.116][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 창덕여자고등학교 발견 
[2023-02-20 13:47:10.116][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 영덕중학교 발견 
